title,magic_effect,magic_ingredients,required_spell,steps,special_notes
Moonlit Nut Crunchies,Allegedly increases one's brain power,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Cough Potion']",Incarcerous,"1. Start by gathering the ingredients as listed. 2. Perform the 'Incarcerous' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Phoenix Feathered Chicken Delight,Protects drinker from fire,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Focus Potion']",Ascendio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Ascendio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Enchanted Creamed Corn,Revealed the worst traits of a person to the drinker,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Fake protective potions']",Aguamenti,"1. Start by gathering the ingredients as listed. 2. Perform the 'Aguamenti' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Dragon's Breath Chicken,Poisonous,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Draught of Peace']",Reducto,"1. Start by gathering the ingredients as listed. 2. Perform the 'Reducto' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Wizard's Sweet Temptation Cups,Poison or other foul effects (most likely),"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Developing solution']",Ferula,"1. Start by gathering the ingredients as listed. 2. Perform the 'Ferula' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Sorcerer's Cheeseburger Brew,"Induced fear, delirium, intense stomach pain and extreme thirst in the drinker","['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Fungiface Potion']",Anapneo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Anapneo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Rhubarb Rune Cake,Replenished lost blood,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Dogbreath Potion']",Immobulus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Immobulus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Scrying Corn Casserole,Gives drinker fiery breath,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Bruise removal paste']",Sonorus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Sonorus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Pepper Steak of the Giants,Helps deal with Traces,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Dogbane Potion']",Locomotor Mortis,"1. Start by gathering the ingredients as listed. 2. Perform the 'Locomotor Mortis' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Millionaire's Pie of Wealth,Laxative,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Deflating Draught']",Ascendio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Ascendio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Witch's Double Cherry Delight,Cured paralysis,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', ""Baruffio's Brain Elixir""]",Levicorpus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Levicorpus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Buckeye Elixir,Counteracted the effects of common poisons,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Antidote to Uncommon Poisons']",Riddikulus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Riddikulus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Barbecue Wings of the Phoenix,Cures the effects of minor poisons,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Dragon dung fertiliser']",Ferula,"1. Start by gathering the ingredients as listed. 2. Perform the 'Ferula' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Taco Salad of the Enchanted Fields,"Healing, replenishes lost health and stamina to the drinker","['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Antidote to Uncommon Poisons']",Muffliato,"1. Start by gathering the ingredients as listed. 2. Perform the 'Muffliato' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Frozen Fairy Pink Delight,Induces drowsiness,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Baneberry Potion']",Morsmordre,"1. Start by gathering the ingredients as listed. 2. Perform the 'Morsmordre' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Strawberry Dream Pie of Divination,Relieved and/or cured cold symptoms,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', ""Gregory's Unctuous Unction""]",Oppugno,"1. Start by gathering the ingredients as listed. 2. Perform the 'Oppugno' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chocolate Cake of the Dark Wizard,Caused lockjaw,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Erumpent Potion']",Sonorus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Sonorus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Broccoli of the Green Warden,Promotes the growth of plants,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Exstimulo Potion']",Nox,"1. Start by gathering the ingredients as listed. 2. Perform the 'Nox' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Strawberry Potion of Renewal,Supposedly protect the drinker from the effects of dark magic (likely useless),"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Invisibility Potion']",Sonorus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Sonorus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Applesauce Cake of Lost Memories,Healed burns,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Hair-Dyeing Potion']",Renneverate,"1. Start by gathering the ingredients as listed. 2. Perform the 'Renneverate' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Banana Bread of Time Travelers,Explodes when touched,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Felix Felicis']",Oculus Reparo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Oculus Reparo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Minty Chocolate Frango of Illusions,Induces happiness,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Elixir to Induce Euphoria']",Episkey,"1. Start by gathering the ingredients as listed. 2. Perform the 'Episkey' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Trumpet Turkey of the Fey,Presumably causes hiccoughs,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Bundimum Pomade']",Alohomora,"1. Start by gathering the ingredients as listed. 2. Perform the 'Alohomora' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Spaghetti Sauce of the Ancient Council,Confusion,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Draught of Living Death']",Riddikulus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Riddikulus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Meat Loaf of the Mountain Troll,Provoked stomach growling,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Babbling Beverage']",Locomotor Mortis,"1. Start by gathering the ingredients as listed. 2. Perform the 'Locomotor Mortis' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Round Steak of the Blood Moon,Causes eyes to bulge (presumably),"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Developing solution']",Geminio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Geminio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Beef Strips of the Red Planet,Counteracted the effects of common poisons,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Bulgeye Potion']",Engorgio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Engorgio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Quick Fudge of the Goblins,Rapid hair growth,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Caxambu Style Borborygmus Potion']",Piertotum Locomotor,"1. Start by gathering the ingredients as listed. 2. Perform the 'Piertotum Locomotor' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Taco-Filled Spellbound Peppers,Infatuation with whoever offered the potion,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Malevolent Mixture']",Legilimens,"1. Start by gathering the ingredients as listed. 2. Perform the 'Legilimens' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
One-Hour Rolls of the Elves,Causes fatigue,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Love potion']",Immobulus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Immobulus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Fruit Salad of the Dryad's Feast,Protects drinker from fire,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Cure for Boils']",Geminio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Geminio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chicken of Eternal Summer,Made the drinker think the one who gave them the potion was their best friend,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Forgetfulness Potion']",Levicorpus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Levicorpus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Cherry Pizza of the Forest Fairies,Presumably causes hiccoughs,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Fergus Fungal Budge']",Bombardo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Bombardo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
