title,magic_effect,magic_ingredients,required_spell,steps,special_notes
Cheese Pie of the Golden Cauldron,Poisonous,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Fire-Protection Potion']",Aguamenti,"1. Start by gathering the ingredients as listed. 2. Perform the 'Aguamenti' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Tuna Casserole of the Merpeople,Explodes when touched,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Fungiface Potion']",Reparo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Reparo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Artichoke Dip of the Stone Circle,Changed the colour of the drinker's hair,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Laxative Potion']",Nox,"1. Start by gathering the ingredients as listed. 2. Perform the 'Nox' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Broccoli Crackers of the Wise Sage,Revealed the worst traits of a person to the drinker,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Draught of Peace']",Ascendio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Ascendio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Spaghetti of the Endless Summer,Recklessness,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Draught of Living Death']",Engorgio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Engorgio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Pear-Lime Salad of the Sprite,Healed burns,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Fire-Breathing Potion']",Engorgio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Engorgio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Watermelon Pickles of Time,Induces drowsiness,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Antidote to Uncommon Poisons']",Obliviate,"1. Start by gathering the ingredients as listed. 2. Perform the 'Obliviate' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chicken Stew of the Sacred Grove,Poison or other foul effects (most likely),"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Dogbreath Potion']",Aparecium,"1. Start by gathering the ingredients as listed. 2. Perform the 'Aparecium' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Quick Coffee Cake of the Morning Star,Induces happiness,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Contortion Potion']",Geminio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Geminio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Angel Biscuits of the Celestial Host,"Induced fear, delirium, intense stomach pain and extreme thirst in the drinker","['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Bulgeye Potion']",Immobulus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Immobulus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Peppermint Puffs of Winter Spirits,Killed or damaged plants,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Dragon Tonic']",Fidelius Charm,"1. Start by gathering the ingredients as listed. 2. Perform the 'Fidelius Charm' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Fruit Pizza of the Faerie Court,Enhances the attractiveness of the drinker's physical appearance,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Drowsiness Draught']",Reparo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Reparo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chocolate Mint Bars of the Fae Realm,Makes a human breath fire,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Fire-Protection Potion']",Bombardo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Bombardo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Beer Bread of the Dwarves,Causes eyes to bulge (presumably),"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Exploding Potion']",Expelliarmus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Expelliarmus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chicken Divan of the Silver Court,Love potion that caused a powerful infatuation or obsession in the drinker,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Elixir to Induce Euphoria']",Protego,"1. Start by gathering the ingredients as listed. 2. Perform the 'Protego' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Cookie Rings of the Sun,Permanent magical effects,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Jawbind potion']",Silencio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Silencio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Burger Soup of the Forbidden Forest,Poison or other foul effects (most likely),"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Burn-healing paste']",Obscuro,"1. Start by gathering the ingredients as listed. 2. Perform the 'Obscuro' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chicken Ole of the Desert Winds,Energised the drinker,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Golden potion']",Crinus Muto,"1. Start by gathering the ingredients as listed. 2. Perform the 'Crinus Muto' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Coleslaw of the Elves,Energised the drinker,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Draught of Peace']",Disillusionment Charm,"1. Start by gathering the ingredients as listed. 2. Perform the 'Disillusionment Charm' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Creole Flounder of the Mermaid's Kiss,Laxative,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Beautification Potion']",Petrificus Totalus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Petrificus Totalus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Three Bean Salad of the Enchanted River,Cured paralysis,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', ""Gregory's Unctuous Unction""]",Homenum Revelio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Homenum Revelio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Corn Casserole of the Golden Harvest,Causes the drinker to become infatuated with the giver of the potion,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Essence of Insanity']",Spongify,"1. Start by gathering the ingredients as listed. 2. Perform the 'Spongify' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Italian Casserole of the Magi,Causes the drinker's face to break out in fungi,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Germinating Potion']",Piertotum Locomotor,"1. Start by gathering the ingredients as listed. 2. Perform the 'Piertotum Locomotor' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Cabbage Casserole of the Forest Clan,Immortality,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Germinating Potion']",Anapneo,"1. Start by gathering the ingredients as listed. 2. Perform the 'Anapneo' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Crab Cakes of the Sea Witch,Presumably causes hiccoughs,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Love Potion Antidote']",Alohomora,"1. Start by gathering the ingredients as listed. 2. Perform the 'Alohomora' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Taco Dip of the Minotaur,Poisonous to dogs (possibly),"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Everlasting Elixirs']",Spongify,"1. Start by gathering the ingredients as listed. 2. Perform the 'Spongify' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Bonbon Cookies of the Moon Goddess,Immortality,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Flesh-Eating Slug Repellent']",Engorgio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Engorgio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Amber Cookies of the Eternal Flame,Poison,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Antidote to Common Poisons']",Riddikulus,"1. Start by gathering the ingredients as listed. 2. Perform the 'Riddikulus' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Gooey Cake of the Fey Wilds,Gave the drinker rocky skin,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Developing solution']",Renneverate,"1. Start by gathering the ingredients as listed. 2. Perform the 'Renneverate' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Pineapple-Banana Salad of the Isles,Laxative,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Emerald Potion']",Piertotum Locomotor,"1. Start by gathering the ingredients as listed. 2. Perform the 'Piertotum Locomotor' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Chicken Casserole of the Gryphon's Nest,Confusion,"['1 c. firmly packed brown sugar', '1/2 c. evaporated milk', '1/2 tsp. vanilla', '1/2 c. broken nuts (pecans)', '2 Tbsp. butter or margarine', '3 1/2 c. bite size shredded rice biscuits', 'Exstimulo Potion']",Fiendfyre Curse,"1. Start by gathering the ingredients as listed. 2. Perform the 'Fiendfyre Curse' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Nut Pie of the Druid's Circle,Healed burns,"['1 small jar chipped beef, cut up', '4 boned chicken breasts', '1 can cream of mushroom soup', '1 carton sour cream', 'Focus Potion']",Accio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Accio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
Diabetic Candy of the Healers,Made the drinker think the one who gave them the potion was their best friend,"['2 (16 oz.) pkg. frozen corn', '1 (8 oz.) pkg. cream cheese, cubed', '1/3 c. butter, cubed', '1/2 tsp. garlic powder', '1/2 tsp. salt', '1/4 tsp. pepper', 'Cough Potion']",Engorgio,"1. Start by gathering the ingredients as listed. 2. Perform the 'Engorgio' spell to enhance the magical properties of the potion. 3. Follow the regular cooking steps, but stir with a wand while chanting the potion's incantation. 4. Let the potion simmer under moonlight for best results.",Be cautious when handling the magical ingredients; improper handling may result in unexpected transformations.
